東,一
菄,一
鶇,一
𠍀,一
倲,一
𩜍,一
𢘐,一
涷,一
蝀,一
凍,一
鯟,一
𢔅,一
崠,一
埬,一
𧓕,一
䰤,一
同,一
童,一
僮,一
銅,一
桐,一
峒,一
硐,一
𦨴,一
𧱁,一
筒,一
瞳,一
㼧,一
𤭁,一
犝,一
筩,一
曈,一
洞,一
侗,一
烔,一
䴀,一
挏,一
酮,一
𦏆,一
𦍻,一
眮,一
蕫,一
衕,一
𩍅,一
𢈉,一
䆚,一
哃,一
𢏕,一
絧,一
𨚯,一
𨝯,一
𪔝,一
𩦶,一
𪒿,一
中,三
衷,三
忠,三
𦬕,三
蟲,三
沖,三
种,三
盅,三
翀,三
終,三
衆,三
𣧩,三
螽,三
𧑄,三
鼨,三
蔠,三
柊,三
𩅧,三
鴤,三
䈺,三
泈,三
䝦,三
忡,三
浺,三
崇,三
崈,三
㓽,三
𩞉,三
嵩,三
崧,三
𪀚,三
娀,三
菘,三
硹,三
㣝,三
𧊕,三
𨱿,三
戎,三
𢦦,三
茙,三
㭜,三
駥,三
𥬪,三
𠈋,三
狨,三
絨,三
弓,三
躳,三
躬,三
㴦,三
宮,三
匑,三
融,三
肜,三
瀜,三
雄,三
熊,三
夢,三
𨞯,三
𦫰,三
𧲎,三
穹,三
𢞏,三
焪,三
芎,三
𦵡,三
𥳎,三
窮,三
藭,三
𥨪,三
馮,三
堸,三
汎,三
𨝭,三
渢,三
梵,三
風,三
飌,三
楓,三
猦,三
偑,三
檒,三
𧆉,三
豐,三
酆,三
蘴,三
灃,三
寷,三
麷,三
㒥,三
㠦,三
充,三
珫,三
茺,三
㤝,三
䘪,三
㳘,三
隆,三
癃,三
𪔳,三
窿,三
霳,三
㚅,三
空,一
箜,一
硿,一
䅝,一
埪,一
倥,一
鵼,一
𦱇,一
𢃐,一
𧌆,一
公,一
功,一
工,一
疘,一
魟,一
攻,一
㓚,一
愩,一
碽,一
篢,一
蒙,一
冡,一
濛,一
𩦺,一
艨,一
䑃,一
矇,一
饛,一
䰒,一
